x analitic dft/fft
6.300000000000000e-03 -3.956471312048018e-05 -3.956471310789800e-05
6.400000000000000e-03 -4.082864748149778e-05 -4.082864748125581e-05
6.500000000000000e-03 -4.211238901888712e-05 -4.211238900414527e-05
6.600000000000000e-03 -4.341593470663855e-05 -4.341593470508220e-05
6.700000000000000e-03 -4.473928151833586e-05 -4.473928150230955e-05
6.800000000000000e-03 -4.608242642715613e-05 -4.608242642967220e-05
6.900000000000000e-03 -4.744536640586969e-05 -4.744536639389452e-05
7.000000000000000e-03 -4.882809842683996e-05 -4.882809842812752e-05
7.100000000000000e-03 -5.023061946202340e-05 -5.023061944883778e-05
7.200000000000000e-03 -5.165292648296932e-05 -5.165292648184883e-05
7.300000000000000e-03 -5.309501646081994e-05 -5.309501644526482e-05
7.400000000000000e-03 -5.455688636631011e-05 -5.455688636393785e-05
7.500000000000000e-03 -5.603853316976728e-05 -5.603853315297447e-05
7.600000000000000e-03 -5.753995384111144e-05 -5.753995384277788e-05
7.700000000000000e-03 -5.906114534985496e-05 -5.906114533704709e-05
7.800000000000000e-03 -6.060210466510249e-05 -6.060210466557470e-05
7.900000000000001e-03 -6.216282875555093e-05 -6.216282874152435e-05
8.000000000000000e-03 -6.374331458948917e-05 -6.374331458991467e-05
8.100000000000000e-03 -6.534355913479814e-05 -6.534355912066192e-05
8.200000000000001e-03 -6.696355935895073e-05 -6.696355935811860e-05
8.300000000000000e-03 -6.860331222901145e-05 -6.860331221367200e-05
8.399999999999999e-03 -7.026281471163663e-05 -7.026281471486651e-05
8.500000000000001e-03 -7.194206377307410e-05 -7.194206376173740e-05
8.600000000000000e-03 -7.364105637916313e-05 -7.364105638110741e-05
8.699999999999999e-03 -7.535978949533447e-05 -7.535978948283728e-05
8.800000000000001e-03 -7.709826008661007e-05 -7.709826008614473e-05
8.900000000000000e-03 -7.885646511760301e-05 -7.885646510263911e-05
8.999999999999999e-03 -8.063440155251749e-05 -8.063440155081647e-05
9.100000000000000e-03 -8.243206635514863e-05 -8.243206633898326e-05
9.200000000000000e-03 -8.424945648888237e-05 -8.424945649124216e-05
9.299999999999999e-03 -8.608656891669549e-05 -8.608656890449207e-05
9.400000000000000e-03 -8.794340060115539e-05 -8.794340060222505e-05
9.500000000000000e-03 -8.981994850441989e-05 -8.981994849102670e-05
9.599999999999999e-03 -9.171620958823740e-05 -9.171620958833837e-05
